"application_type","keywords","visual_style","landing_page","dashboard_layout","color_palette","essential_ux","ui_style_bias"
"Museum / Gallery","museum, gallery, exhibition, art, collection, cultural institution, curator, exhibit, fine art, archive","Refined, spacious, and art-respectful. The design must serve the artwork and artifacts — the interface should be a frame, not a feature. Typography should be elegant and minimal: a clean serif or refined sans-serif that does not compete with visual content. Layouts should be generous with whitespace, allowing imagery to breathe. Photography of exhibitions and collection pieces should be high-resolution and professionally lit. Navigation should be intuitive for culturally diverse, multigenerational visitors. Avoid: busy layouts, heavy branding that competes with art, dark interfaces for browsing (unless showcasing photography or film), and design trends that would date quickly against timeless collections.","Hero should feature a current or signature exhibition with striking imagery and dates. Plan Your Visit CTA (hours, admission, directions) and Buy Tickets above the fold — these are the two most common visitor tasks. Below the fold: current and upcoming exhibitions with dates and brief descriptions. Collection highlights or featured works. Events calendar (lectures, workshops, openings). Membership promotion with clear benefits. Education programs section. Virtual tour or online collection teaser. Visitor information: accessibility, dining, parking, group visits. Avoid: homepages that prioritize institutional messaging over visitor-relevant information, and hiding practical visit details below exhibition content.","If an online collection exists: searchable database with high-resolution imagery, artwork metadata (artist, date, medium, dimensions, provenance), and curatorial context. Virtual exhibition spaces with guided and self-directed paths. For visitors: ticket purchase and membership management, event registration, and saved favorites from the collection. For staff: exhibition planning tools, loan management, and conservation records. Mobile app features: audio tour with location awareness, interactive maps, and augmented reality for supplemental content. Avoid: collection databases that feel like spreadsheets, and virtual tours that load too slowly to maintain engagement.","Neutral, art-deferential palette. White or warm off-white as the primary background — gallery walls are white for a reason. Near-black text for maximum readability. Minimal accent color for navigation and CTAs — one refined tone (deep charcoal, warm grey, or a single institutional color). Exhibition-specific color can be used for promotional materials but should not dominate the permanent site. Avoid: colorful UI that competes with artwork, trendy palettes that date against permanent collections, dark themes for general browsing (reserve for photography or film exhibitions), and any color that imposes a mood the art should set.","WCAG 2.0 AA accessibility is mandatory for cultural institutions — diverse audiences include elderly visitors, those with disabilities, and international tourists. Visitor-critical information (hours, admission, directions) must be findable within 2 seconds. Ticketing should be fast: date selection, ticket type, quantity, payment — under 3 minutes. Collection search must be powerful: support artist, period, medium, and keyword queries. High-resolution imagery is essential for online collections but must load progressively. Mobile experience must support on-site use: audio tours, maps, and exhibition guides. Multi-language support for institutions with international audiences. Virtual tours expand reach but must be genuinely immersive, not just slideshows. Avoid: gating collection imagery behind registration, and mobile experiences that do not account for in-gallery use with poor connectivity.","Gallery-white refinement; minimal chrome, art-deferential whitespace, elegant typography, high-res collection imagery, and visitor-first information architecture"
"Theater / Cinema","theater, cinema, movie theater, performing arts, playhouse, film, screening, stage, box office, showtime","Dramatic, atmospheric, and conversion-focused. The design should evoke the anticipation of live performance or the immersion of cinema. Typography should be bold for titles and productions, clean for practical information (showtimes, prices, seats). Dark backgrounds create theatrical atmosphere and make poster art and production imagery pop. Layouts should support both browsing (what is showing) and booking (buy tickets now). The experience should build excitement while keeping the transaction path clear and fast. Avoid: bright, flat designs that kill the theatrical atmosphere, cluttered event listings, slow-loading pages on show nights, and booking flows that feel bureaucratic.","Hero should feature the current marquee production or film with dramatic full-bleed imagery, dates, and a Book Tickets CTA. Below the fold: now showing and coming soon with poster art, titles, dates, and ratings or genre. Showtime grid for today and the upcoming week with quick-book functionality. For performing arts: season overview with subscription or package options. Venue information with seating chart preview. For cinema: trailers embedded or linked. Membership or loyalty program promotion. Avoid: static event lists without imagery, hiding showtimes behind clicks, and hero sections that promote past events.","Booking flow is the core product. Showtime selection should display seat availability indicators next to each time slot to prevent dead-end selections. Interactive seat map with clear coding: available, selected, sold, restricted view, accessible. Price should be visible from the moment seats are selected — no surprises at checkout. Single-page or progressive checkout: seats, add-ons (concessions, parking), payment, confirmation. For performing arts: season subscription management, exchange and cancellation. For members: purchase history, loyalty points, and early access to bookings. Avoid: seat maps that are hard to read on mobile, checkout flows with hidden fees, and booking systems that time out too quickly during selection.","Dark, theatrical palette. Near-black or deep charcoal as primary background — this is a performance environment. Brand accent color for CTAs and interactive elements (deep red, gold, or electric blue are common). Poster art and production imagery should dominate the color experience. White or light text against dark backgrounds with clear hierarchy. Gold accents add prestige for performing arts venues. Showtimes and pricing should use high-contrast treatment for scanning. Avoid: light themes that flatten the theatrical atmosphere, bright UI colors that compete with production imagery, and color coding systems for genres that create visual noise.","Booking completion rate is the primary metric. Show available-seat count next to each showtime to prevent users from selecting a time only to find no good seats remain. Seat selection must work well on mobile — pinch-to-zoom on seat maps, large touch targets, and clear visual feedback. Checkout should be completable in under 2 minutes with upfront total pricing and no surprise fees. Trailer and preview content drives interest for cinema; production photos and reviews for theater. Performance nights drive traffic spikes — the site must handle load without degradation. Push notifications for new releases, early booking windows, and showtime reminders. Accessibility: wheelchair-accessible seat indicators on the map, screen reader support for the booking flow, and audio-described performance information. Avoid: booking flows that lose state on back-button, and mobile seat maps that are unusable without zooming.","Dark theatrical atmosphere; dramatic imagery, bold production titles, seat-map-driven booking, gold prestige accents, and conversion-optimized showtime grids"
"Language Learning App","language learning, language app, vocabulary, grammar, fluency, multilingual, translation, speaking practice, language tutor, polyglot","Playful, motivational, and progress-obsessed. The interface should make learning feel like a game while delivering genuine linguistic competence. Typography should be large and clear, especially for displaying new vocabulary and characters across multiple scripts. Layouts should be consistent and predictable for lessons so learners build spatial memory. Visual feedback (animations, color changes, sound) should reinforce correct answers and gently handle mistakes. Density should be low — one concept per screen for focused learning. Avoid: overwhelming interfaces, cluttered lesson screens, intimidating grammar displays, and designs that make language learning feel like homework.","Hero should show the learning experience in action — a lesson screenshot, character animation, or progress visualization. Lead with a specific promise (e.g., conversational fluency in X weeks). Language selection as an immediate, engaging entry point. Below the fold: available languages with proficiency levels, the methodology explained simply, social proof (user count, success stories, app store ratings), and pricing with free tier prominent. Comparison to traditional learning methods. App store badges for mobile download. Avoid: vague promises, stock photos of globes or flags, and landing pages that explain the methodology before showing the product.","Lesson view is the primary screen: one exercise at a time, clear instructions, interactive input (tap, type, speak, listen), and immediate feedback. Progress dashboard: current streak, daily goal completion, level progress per skill tree, and overall proficiency estimate. Skill tree or learning path showing completed, current, and locked units. Review section for spaced repetition of previously learned material. Leaderboards and social features for competitive motivation. Achievement badges and milestone celebrations. Settings for daily goal, notification preferences, and learning style. Avoid: overwhelming learners with too many options on the lesson screen, streak mechanics that punish rather than encourage, and social features that shame slower learners.","Vibrant, energetic palette that makes learning feel fun. A strong brand primary color for interactive elements and progress indicators. Green for correct answers, warm amber or red for mistakes — these are deeply learned associations. Skill categories can use distinct colors for visual variety across the learning path. Backgrounds should be clean and light during lessons to maximize focus on content. Celebration screens (level completion, streak milestones) can use richer, more expressive color. Avoid: muted or corporate palettes that make learning feel dull, dark themes during active learning sessions, and color systems that are inaccessible for color-blind users (pair color with icons or text labels).","Spaced repetition combined with gamified recall improves vocabulary retention by 34% — implement SRS for all vocabulary review. Micro-guidance prevents quitting: contextual messages like 'You are 1 step from A2!' maintain motivation. Daily streak mechanics drive habit formation but must handle missed days gracefully (freeze options, recovery). Lesson length should be 3-10 minutes for mobile sessions. Speaking exercises require reliable speech recognition. Offline mode is critical for commuter learners. Onboarding should place users into their first lesson within 90 seconds — start with familiar phrases for immediate success. Multi-script rendering must be flawless for languages with non-Latin alphabets. Push notifications should be encouraging and timeable. Accessibility: support for screen readers across all exercise types, including speaking and listening. Avoid: placement tests that feel like exams, and review sessions that feel punitive rather than reinforcing.","Vibrant, game-inspired learning UI; energetic brand color, streak-driven motivation, clean lesson screens, celebration animations, and progress-obsessed navigation"
"Coding Bootcamp","coding bootcamp, programming bootcamp, developer training, software engineering course, web development bootcamp, tech bootcamp, code school, full stack course, career change tech, learn to code","Technical yet accessible, bridging the gap between aspiration and capability. Typography should feel modern-technical: a clean mono-inspired or geometric sans-serif for headlines, highly readable body font for long-form curriculum descriptions. Dark mode aesthetic (code editor feel) for the brand personality, but light backgrounds for content-heavy pages like curriculum and outcomes. Code snippets and terminal-style elements should feel native, not decorative. Layouts should be structured and scannable. Avoid: overly playful design that undermines technical credibility, corporate stiffness, and heavy use of stock photography of people at laptops.","Hero should lead with the career transformation promise: job title, salary range, and timeframe. Below the fold: curriculum overview showing the technology stack and learning progression. Career outcomes section is the most important content — job placement rate, average salary increase, employer partners, and graduate testimonials with before/after career data. Financing options prominently displayed (ISA, deferred tuition, installment plans). Sample project or lesson preview. Admissions process explained simply. Instructor profiles with industry credentials. Avoid: hiding outcome data, vague promises without metrics, and curriculum descriptions that list technologies without explaining what students will build.","Student dashboard: current module with progress, upcoming assignments and deadlines, code submission with feedback status, and mentor session scheduling. Curriculum roadmap showing completed, current, and upcoming modules. Project portfolio builder for job-ready showcases. Career services: resume review, interview prep, and job board. Community features: cohort messaging, peer code review, and alumni network. For staff: student progress tracking, attendance, assignment grading, and outcome tracking. Avoid: learning platforms that feel like corporate LMS systems, and dashboards that prioritize attendance over learning progress.","Technical, modern palette. Dark charcoal or near-black for hero sections and code-related areas — evokes the terminal and code editor environment. Clean white for curriculum, outcomes, and pricing sections where readability is paramount. A vibrant accent (electric blue, green, or orange) for CTAs and interactive elements — these should stand out against both dark and light backgrounds. Syntax highlighting colors for code snippets should follow established conventions (keywords, strings, comments). Avoid: all-dark designs that make long-form content hard to read, pastels that undermine technical credibility, and palettes that do not support the dual dark/light needs of the site.","Transparent career outcomes are the #1 conversion driver — publish job placement rates, salary data, and employer partners prominently and honestly. Job guarantees (refund if not hired) dramatically reduce enrollment risk; if offered, make it unmissable. Curriculum must show what students build, not just what they learn — project-based outcomes are more compelling than topic lists. Financing options reduce the biggest enrollment barrier; present them clearly without fine print. Application flow should be short: background, goals, and contact — save detailed intake for after acceptance. Mobile must work for browsing and research, though the learning platform itself may be desktop-primary. Alumni success stories with specific career trajectories (before: barista, after: software engineer at X) are the highest-converting content. Avoid: outcome data that is outdated or unverifiable, and enrollment flows that feel high-pressure.","Terminal-meets-classroom aesthetic; dark hero sections, clean curriculum layouts, vibrant tech accents, outcome-data-forward design, and code-native visual language"
"Cybersecurity Platform","cybersecurity, security platform, threat detection, soc, siem, endpoint protection, vulnerability, incident response, infosec, security operations","Data-dense, alert-driven, and operationally serious. The visual language must communicate control and competence under pressure. Typography should be technical and precise: monospace for data and identifiers, clean sans-serif for labels and navigation. Layouts must support high information density without creating visual chaos — grid-based with clear grouping and consistent spacing. Dark mode is the default for SOC environments where analysts work extended shifts. Status and severity indicators must be instantly parseable. Avoid: decorative design, playful elements, bright themes as default, and any visual treatment that slows threat comprehension or trivializes security posture.","Hero should communicate the core security capability — what threats are detected, what is protected, and the platform's differentiator (AI-driven, real-time, unified). Below the fold: capability matrix organized by security domain (endpoint, network, cloud, identity). Integration ecosystem showing supported platforms and tools. Trust signals unique to cybersecurity: SOC 2 certification, compliance frameworks supported, independent test results, and threat research publications. Customer logos (enterprise logos carry particular weight in security). Threat intelligence or research section demonstrating domain expertise. Avoid: fear-based marketing, vague AI claims without specifics, and hiding pricing behind sales calls when self-service tiers exist.","SOC analyst dashboard: real-time alert feed with severity-based ordering, threat timeline showing attack progression, and incident detail with enriched context (IP geolocation, threat intel, related alerts). Alert clustering to reduce fatigue — group related incidents and prioritize by risk confidence. Investigation workspace with log search, query builder, and visualization tools. CISO dashboard: risk posture summary, compliance status, trend lines, and executive-ready reports. Role-based views are critical — a CISO and SOC analyst need fundamentally different data at different densities. Playbook or automated response tracking. Avoid: flat alert lists without prioritization, dashboards that show everything at once without role filtering, and visualizations that look impressive but do not aid decision-making.","Dark palette as default — SOC environments use dark mode to reduce eye strain during 8-12 hour monitoring shifts. Deep charcoal or navy (not pure black) as primary background. Severity color coding: critical in red, high in orange, medium in yellow, low in blue or grey — these must be instantly recognizable and consistent throughout the platform. Green for resolved or healthy states. Accent color (cyber green, electric blue) for interactive elements and brand identity. Data visualizations should use high-contrast colors against dark backgrounds. Avoid: light themes as default, decorative color usage, severity colors that deviate from industry convention, and color coding that relies on hue alone without shape or text labels for accessibility.","Alert fatigue is the existential UX challenge — analysts receive thousands of alerts daily and most are noise. Prioritize alerts by risk score and confidence level. Cluster related alerts into incidents automatically. Provide clear context with every alert: why it matters, what triggered it, and recommended action. Investigation tools must be fast: log queries returning in seconds, not minutes. Dark mode is not optional — it is the working environment. Role-based dashboards prevent information overload by showing each user only what they need. Keyboard shortcuts are essential for power users who live in the platform. API documentation and integration guides must be clean and interactive. Performance under load is critical — security dashboards must never lag during an active incident. Avoid: alert UIs that treat all severities equally, and dashboards that require constant manual refresh.","Dark operational command center; severity-coded alerts, data-dense grid layouts, real-time threat feeds, monospace data typography, and role-based information hierarchy"
"Developer Tool / IDE","developer tool, ide, development environment, code editor, sdk, api tool, debugging, devtools, programming tool, developer platform","Minimal, fast, and keyboard-first. The interface should feel like an extension of the development environment — technical users have zero tolerance for unnecessary friction. Typography must be precise: monospace for code, clean sans-serif for UI chrome. Layouts should maximize content area and minimize chrome. Dark theme as default mirrors the code editor environment developers inhabit. Information density should be high — developers prefer density over progressive disclosure. Performance must be instantaneous. Avoid: heavy visual design, rounded/soft aesthetics, slow animations, onboarding wizards, and any pattern that makes a developer feel like the tool is designed for non-technical users.","Hero should show the tool in action — a terminal screenshot, code snippet, or GIF of the workflow. Lead with what the tool does in one technical sentence, not marketing speak. Below the fold: installation command (one-liner), quickstart code example, and documentation link — developers evaluate tools by trying them, not reading about them. Feature comparison with alternatives for evaluators. GitHub stars, npm downloads, or adoption metrics as social proof. Integration list showing compatible tools and platforms. Pricing should be transparent and developer-friendly (generous free tier, usage-based scaling). Avoid: marketing fluff, lengthy feature descriptions, and landing pages that require scrolling past a hero section before showing any code.","Documentation is the dashboard. Structure: getting started guide, API reference, tutorials, examples, and changelog. Code examples should be copy-pasteable with language selection. Search must be fast and span all documentation. Interactive API explorer or playground for testing. CLI reference with command documentation. Dashboard (if applicable): usage metrics, API keys, logs, and billing. Settings should be minimal and respect defaults. Avoid: documentation that requires login to browse, outdated examples, interactive playgrounds that are slow or broken, and dashboards that prioritize upsell over utility.","Dark as default — developers work in dark environments. Deep charcoal or editor-dark background. Syntax highlighting colors should follow familiar conventions (VS Code-like defaults are the safest bet). Brand accent for interactive elements (links, buttons, active states) — one color, used consistently. Code blocks with proper contrast against the dark background. Light theme as an option, never the default. Terminal green, blue, or orange accents can work as brand colors in this space. Avoid: light themes as default, colorful UI that feels consumer-grade, decorative color, and syntax highlighting that deviates from established coding conventions without good reason.","Documentation quality is the #1 adoption driver — if developers cannot get started in under 5 minutes, they will choose an alternative. Time-to-first-success is the core UX metric: from landing page to working implementation should be as short as possible. Installation must be a single command. Quickstart should produce a visible result within 10 lines of code. Error messages must be specific, actionable, and searchable. API design should be intuitive and predictable with consistent patterns. Keyboard shortcuts are expected, not optional. Performance is non-negotiable — every interaction should feel instant. Changelog and migration guides must be maintained and honest about breaking changes. Community support (GitHub issues, Discord) should be responsive and visible. Avoid: marketing-heavy onboarding that delays getting to the tool, and documentation written for non-technical audiences.","Dark, keyboard-first precision; monospace code typography, minimal chrome, documentation-led architecture, terminal-native aesthetic, and instant-response interactions"
"Biotech / Life Sciences","biotech, life sciences, pharmaceutical, genomics, bioinformatics, clinical research, drug discovery, molecular biology, biopharma, diagnostics","Scientific, clean, and credibility-first. The visual language must communicate rigorous methodology and institutional trust. Typography should be precise and readable: a clean sans-serif that works for both scientific data and marketing content. Layouts should be structured and spacious with clear information hierarchy. Data visualizations should be scientifically accurate and accessible. Photography should show real laboratories, researchers, and equipment — not stylized stock science imagery. The overall tone should balance cutting-edge innovation with methodical reliability. Avoid: consumer-tech aesthetics, playful design, overly abstract science imagery, and visual treatments that prioritize style over scientific credibility.","Hero should communicate the core science or therapeutic focus with a clear, jargon-appropriate value proposition — this audience expects technical specificity. Below the fold: pipeline or product portfolio showing development stages. Science or technology platform section explaining the approach with appropriate depth. Evidence hub: publications, clinical data, white papers, and presentations. Team section with scientific credentials, institutional affiliations, and publication records — team bios are an underused credibility lever. For multi-audience sites (researchers, investors, patients): clear navigation paths for each persona. News and press section. Partnering or collaboration opportunities. Avoid: oversimplified science that insults the expert audience, and burying the pipeline or evidence behind navigation.","For researchers: data portal with experiment results, assay data, and analysis tools. Visualization dashboards for genomic, proteomic, or clinical data with export capabilities. For investors: pipeline tracker with stage gates, milestone timelines, and regulatory status. For internal teams: project management with experiment tracking, lab notebook integration, and compliance documentation. Data visualizations must be scientifically accurate: proper axis labels, error bars, statistical annotations, and publication-ready formatting. Avoid: generic dashboard patterns that do not account for scientific data standards, and visualizations that sacrifice accuracy for aesthetics.","Clean, scientific palette. White as primary background — evokes laboratory cleanliness and neutrality. Deep blue or teal as primary accent — associated with scientific trust and medical credibility. Molecular or cellular-inspired secondary accents (DNA blue, cellular green) can reinforce the biotech identity without being literal. Data visualizations should use colorblind-friendly palettes (avoid red-green encoding). Charts and graphs need high contrast against white backgrounds. Avoid: dark themes as default (scientific data is traditionally presented on light backgrounds), consumer-bright palettes that undermine scientific gravitas, and decorative color that competes with data visualization.","Multi-audience navigation is the primary UX challenge — researchers, investors, healthcare professionals, and patients all visit the same site with fundamentally different needs. Provide clear persona-aware pathways or navigation that serves each segment. Evidence hubs should centralize publications, data, and scientific news for credibility-seekers. Pipeline visualization must be clear and current — investors check this frequently. Data accuracy is non-negotiable; scientific credibility cannot survive a chart error. Page speed matters for data-heavy pages. Mobile should work for conference browsing and investor research. Accessibility (WCAG AA) ensures compliance with institutional standards. Team profiles with publication records and institutional affiliations build trust more effectively than testimonials. Avoid: marketing language that overpromises scientific results, and sites that bury the science behind corporate messaging.","Scientific precision on clean white; trust-blue accents, pipeline visualization, evidence-hub architecture, data-accurate charts, and multi-audience navigation paths"
"Space Tech / Aerospace","space tech, aerospace, satellite, rocket, launch, orbital, spacecraft, space exploration, aviation technology, defense tech","High-precision, immersive, and mission-focused. The visual language should communicate technological sophistication and operational reliability. Typography should be technical and precise: geometric sans-serifs or the clean, engineered feel of mission control interfaces. Dark backgrounds create an atmospheric, space-appropriate aesthetic and support data-dense operational displays. Photography should be dramatic: launch imagery, satellite views, mission hardware. Data visualizations should feel like telemetry — real-time, precise, and functionally beautiful. Avoid: consumer-tech casualness, playful design, low-resolution imagery, and any visual treatment that undermines the perception of engineering precision and mission-critical reliability.","Hero should be visually spectacular — a full-bleed launch image, satellite rendering, or mission visualization that creates immediate awe. Lead with the mission or capability: what the technology does and why it matters. Below the fold: mission portfolio or product showcase with technical specifications. Technology platform section explaining the engineering approach. Team credentials with aerospace and institutional backgrounds. Partnerships and contracts (NASA, ESA, DoD) as trust signals unique to this industry. Career section for talent acquisition. News and mission updates. For dual-use companies (commercial and defense): clear but appropriately separated messaging. Avoid: understating the technical capability, generic tech-company messaging, and hero sections without dramatic imagery.","Mission control dashboard (if applicable): real-time telemetry with streaming data displays, orbital tracking with 3D visualization, subsystem health monitoring with status-at-a-glance, and alert management with severity prioritization. NASA's Open MCT sets the standard: streaming and historical data, imagery, timelines, and procedures in one framework. Visual minimalism allows operators to focus on tasks — comprehensible icons indicate data type and whether action is needed. For commercial: satellite status dashboards, launch scheduling, and payload tracking. For corporate: mission timeline, milestone tracking, and program management. Avoid: decorative visualizations that sacrifice data accuracy, and dashboards that prioritize looking impressive over supporting operational decisions.","Dark, space-appropriate palette. Deep space black or dark navy as primary — creates atmosphere and supports data visualization. Electric blue, mission-control green, or metallic silver as accent colors for interactive elements and data highlights. Telemetry data should use high-contrast colors against dark backgrounds. Alert severity should follow standard color coding (red/amber/green). Star-white for text and key data points. Metallic accents (silver, titanium) add an engineered, hardware-inspired quality. Avoid: light themes for operational dashboards (glare in control environments), overly colorful UI that undermines technical precision, and pure black backgrounds (too harsh for extended use — use #0a0e17 or similar deep dark).","Operational precision is the foundational UX requirement — in mission-critical contexts, UI errors have real consequences. Real-time data displays must update reliably without lag or data loss. Visual minimalism ensures operators can focus on anomalies rather than parsing normal states. Icon language should be consistent and immediately comprehensible: data type, status, and urgency must be parseable in under 1 second. For public-facing sites: dramatic imagery and mission storytelling drive engagement and talent acquisition. Performance is critical for real-time operational dashboards. Accessibility must account for extended-shift operators: dark mode default, adjustable text sizing, and high-contrast modes. Mobile should support monitoring for on-call personnel. Documentation and training materials for operational tools must be thorough and version-controlled. Avoid: dashboards that show everything at once without hierarchy, and marketing sites that undersell the engineering sophistication.","Mission-control precision; deep space dark palette, real-time telemetry displays, dramatic launch imagery, metallic accents, and operational-minimalist data hierarchy"
"Architecture / Interior Design","architecture, interior design, architect, interior designer, space planning, residential design, commercial architecture, renovation, building design, spatial design","Image-dominant and spatially refined. The design should mirror the discipline it represents: precise, intentional, and beautifully composed. Typography should be minimal and sophisticated — a clean geometric sans-serif or refined serif that complements rather than competes with project imagery. Layouts should give projects maximum breathing room with generous whitespace and full-bleed photography. Grid systems should be precise but not rigid — allow for occasional asymmetry to create visual interest. Photography must be professional-grade; portfolios with high-quality visuals receive 68% more engagement. Avoid: cluttered galleries, small thumbnails, decorative UI elements, busy backgrounds, and any chrome that distracts from the architectural or interior work.","Hero should feature a signature project with full-bleed photography that immediately communicates the design philosophy and quality of work. Minimal text overlay — let the imagery speak. Below the fold: project portfolio organized by type (residential, commercial, hospitality, renovation) with large thumbnails and project names. Each project card should hint at the story behind the design. About section with design philosophy, principal bio, and team. Services overview kept concise. Press and awards section. Contact or consultation CTA that feels like the beginning of a creative relationship. Avoid: text-heavy hero sections, generic architecture stock photos, small project grids that reduce impact, and portfolios that show quantity over quality.","Most architecture and interior design firms do not need a client-facing dashboard. If a project portal exists: visual project timeline with phase tracking (concept, design development, construction documents, construction administration), document sharing for drawings, specs, and material selections, mood boards and finish palettes for client review, budget tracking with change order management, and photo documentation of construction progress. For internal use: project scheduling, resource allocation, and specification libraries. Avoid: complex project management interfaces — clients want visual updates and document access, not Gantt charts.","Restrained, material-inspired palette. Monochrome as the foundation: whites, warm greys, charcoal, and black create a gallery-like backdrop for project photography. A single refined accent (warm gold, muted brass, or architectural blue) for CTAs and subtle emphasis. Photography carries all the color — the UI palette must never compete. Backgrounds should be clean white or very light warm grey to present images accurately. Avoid: colorful UI that imposes a mood the architecture should set, dark themes for portfolio browsing (accurate color rendering of materials and finishes requires neutral backgrounds), and trendy color treatments that date against timeless work.","The portfolio is the entire conversion proposition — every UX decision must serve project presentation. Navigation should be invisible: direct path to the work with no unnecessary corridors. Image loading must be fast despite high resolution — use progressive rendering and modern formats (WebP/AVIF). Project pages should combine photography with short case studies explaining the story, constraints, and solutions, with credits for collaborators. Filter by project type, location, or scale helps visitors self-qualify. Mobile must showcase imagery effectively — many referrals come via social media on phones. Contact forms should be short: name, project type, location, and message. Local SEO matters for firms serving geographic markets. Avoid: JavaScript-heavy galleries that break on mobile, PDF portfolios instead of web galleries, and project pages without narrative context for the imagery.","Spatial precision, gallery-white canvas; monochrome palette, full-bleed project photography, minimal chrome, material-inspired accents, and invisible navigation"
"Quantum Computing Interface","quantum computing, qubit, quantum circuit, quantum processor, quantum algorithm, quantum simulation, superposition, entanglement, quantum gate, quantum cloud","Abstract, precise, and layered in complexity. The visual language must make the invisible tangible — quantum states, probability distributions, and circuit operations need intuitive visual representation. Typography should be technical and clean: monospace for quantum expressions and gate labels, sans-serif for UI navigation. Layouts must support both circuit-building (horizontal flow, left-to-right gate sequencing) and result visualization (probability bars, phase diagrams, state vectors). Dark themes suit the scientific-computational context. The interface should feel like a precision instrument. Avoid: consumer-friendly oversimplification, decorative quantum imagery (orbiting electrons, etc.), playful design, and visualizations that sacrifice mathematical accuracy for aesthetics.","Hero should demonstrate the platform's capability — a quantum circuit visualization, a running computation, or a result visualization that communicates sophisticated tooling. Lead with what users can do: build circuits, run on real quantum hardware, simulate algorithms. Below the fold: supported qubit counts and processor specifications, programming interface options (visual circuit builder, Qiskit/Cirq integration, API access), documentation and learning resources, and pricing tiers (simulator vs. real hardware access). Research publications and institutional partnerships as credibility signals. Community or ecosystem features. Avoid: marketing that oversells quantum advantage, landing pages that explain quantum computing instead of showing the tool, and hero sections without interactive or visual demonstrations.","Circuit composer as the primary workspace: drag-and-drop gate placement on qubit wires with real-time state preview. Visualization panel: probability bar charts for measurement outcomes, q-sphere or Bloch sphere for state visualization, and phase diagrams. Job queue showing submitted circuits with status (queued, running, completed, failed) and hardware/simulator target. Results explorer with statistical analysis, export options, and comparison across runs. Documentation integrated contextually — hover explanations for gates and operations. For advanced users: code editor with syntax highlighting for quantum programming languages. Avoid: interfaces that require quantum physics knowledge to use basic features — layered complexity with contextual help bridges the expertise gap.","Dark, computation-focused palette. Deep space dark or charcoal as primary background — matches the scientific computing environment. Quantum-signature accent colors: interference blue, quantum cyan, or phase-gradient purples for interactive elements and state visualizations. Probability visualizations should use high-contrast colors against dark backgrounds. Gate types can be color-coded but must remain distinguishable for colorblind users. Circuit wires in neutral grey. Result highlighting in vibrant accent for attention. Avoid: light themes as default (scientific computation UIs are dark by convention), decorative color usage, and visualization colors that obscure mathematical relationships between states.","The core UX challenge is bridging esoteric quantum concepts for domain experts (chemists, cryptographers, optimization researchers) who are not quantum physicists. Layered complexity is essential: simple visual circuit building for beginners, code-level access for experts, contextual tooltips explaining every gate and operation. Visualization must scale — current approaches work for small qubit counts but face exponential complexity growth. Probability and phase visualizations should use multiple encodings (position, color, size) for redundancy. Job management must clearly communicate queue position, estimated runtime, and hardware availability. Error rates and noise characteristics should be transparent for hardware runs. Documentation must serve multiple expertise levels simultaneously. Performance matters for simulation — users expect interactive feedback during circuit editing. Avoid: interfaces that assume quantum physics expertise, and visualizations that look impressive but do not aid understanding.","Dark precision instrument; quantum-cyan accents, circuit-composer workspace, probability visualization panels, layered complexity, and scientifically accurate state rendering"
